▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3099
- Network:       http://172.18.16.1:3099
- Environments: .env
✓ Ready in 487ms

 GET / 200 in 6.2s (next.js: 113ms, proxy.ts: 275ms, application-code: 5.8s)
 GET /api/cart?_=1788857422985 200 in 153ms (next.js: 123ms, proxy.ts: 5ms, application-code: 26ms)
 GET /api/auth/session 200 in 845ms (next.js: 826ms, proxy.ts: 8ms, application-code: 10ms)
 GET /api/auth/session 200 in 24ms (next.js: 10ms, proxy.ts: 7ms, application-code: 7ms)
 GET / 200 in 4.7s (next.js: 6ms, proxy.ts: 5ms, application-code: 4.7s)
 GET /api/cart?_=1788857641181 200 in 16ms (next.js: 4ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/auth/session 200 in 24ms (next.js: 13ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/auth/session 200 in 16ms (next.js: 5ms, proxy.ts: 4ms, application-code: 7ms)
 GET / 200 in 1463ms (next.js: 7ms, proxy.ts: 5ms, application-code: 1451ms)
 GET /api/cart?_=1788857643532 200 in 14ms (next.js: 4ms, proxy.ts: 4ms, application-code: 7ms)
 GET /api/auth/session 200 in 26ms (next.js: 14ms, proxy.ts: 4ms, application-code: 7ms)
 GET /api/auth/session 200 in 14ms (next.js: 5ms, proxy.ts: 3ms, application-code: 6ms)
 GET / 200 in 4.8s (next.js: 5ms, proxy.ts: 4ms, application-code: 4.8s)
 GET /api/cart?_=1788857812502 200 in 21ms (next.js: 3ms, proxy.ts: 4ms, application-code: 14ms)
 GET /api/auth/session 200 in 21ms (next.js: 9ms, proxy.ts: 6ms, application-code: 6ms)
 GET /api/auth/session 200 in 19ms (next.js: 5ms, proxy.ts: 9ms, application-code: 5ms)
 GET / 200 in 1711ms (next.js: 5ms, proxy.ts: 6ms, application-code: 1700ms)
 GET /api/cart?_=1788857815107 200 in 18ms (next.js: 3ms, proxy.ts: 4ms, application-code: 12ms)
 GET /api/auth/session 200 in 22ms (next.js: 10ms, proxy.ts: 5ms, application-code: 6ms)
 GET /api/auth/session 200 in 12ms (next.js: 4ms, proxy.ts: 3ms, application-code: 5ms)
 GET / 200 in 4.7s (next.js: 5ms, proxy.ts: 6ms, application-code: 4.7s)
 GET /api/cart?_=1788857865394 200 in 16ms (next.js: 3ms, proxy.ts: 4ms, application-code: 8ms)
 GET /api/auth/session 200 in 22ms (next.js: 10ms, proxy.ts: 6ms, application-code: 6ms)
 GET /api/auth/session 200 in 15ms (next.js: 5ms, proxy.ts: 4ms, application-code: 5ms)
 GET / 200 in 1688ms (next.js: 4ms, proxy.ts: 4ms, application-code: 1680ms)
 GET /api/cart?_=1788857867890 200 in 19ms (next.js: 3ms, proxy.ts: 4ms, application-code: 12ms)
 GET /api/auth/session 200 in 21ms (next.js: 11ms, proxy.ts: 6ms, application-code: 5ms)
 GET /api/auth/session 200 in 14ms (next.js: 5ms, proxy.ts: 4ms, application-code: 5ms)
 GET / 200 in 1454ms (next.js: 5ms, proxy.ts: 5ms, application-code: 1444ms)
 GET /api/cart?_=1788857871421 200 in 15ms (next.js: 3ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/auth/session 200 in 24ms (next.js: 11ms, proxy.ts: 5ms, application-code: 8ms)
 GET /api/auth/session 200 in 17ms (next.js: 5ms, proxy.ts: 7ms, application-code: 5ms)
 GET / 200 in 1392ms (next.js: 5ms, proxy.ts: 4ms, application-code: 1383ms)
 GET /api/cart?_=1788857877390 200 in 18ms (next.js: 4ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/auth/session 200 in 25ms (next.js: 9ms, proxy.ts: 6ms, application-code: 9ms)
 GET /api/auth/session 200 in 12ms (next.js: 4ms, proxy.ts: 3ms, application-code: 4ms)
 GET / 200 in 4.7s (next.js: 5ms, proxy.ts: 6ms, application-code: 4.7s)
 GET /api/cart?_=1788858141500 200 in 22ms (next.js: 3ms, proxy.ts: 4ms, application-code: 15ms)
 GET /api/auth/session 200 in 23ms (next.js: 11ms, proxy.ts: 6ms, application-code: 6ms)
 GET /api/auth/session 200 in 17ms (next.js: 5ms, proxy.ts: 7ms, application-code: 4ms)
 GET / 200 in 4.7s (next.js: 5ms, proxy.ts: 3ms, application-code: 4.7s)
 GET /api/cart?_=1788858159168 200 in 18ms (next.js: 3ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/auth/session 200 in 25ms (next.js: 13ms, proxy.ts: 6ms, application-code: 6ms)
 GET /api/auth/session 200 in 13ms (next.js: 4ms, proxy.ts: 3ms, application-code: 5ms)
 GET / 200 in 5.0s (next.js: 4ms, proxy.ts: 3ms, application-code: 5.0s)
 GET /api/cart?_=1788858208103 200 in 13ms (next.js: 3ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/auth/session 200 in 21ms (next.js: 12ms, proxy.ts: 4ms, application-code: 5ms)
 GET /api/auth/session 200 in 13ms (next.js: 5ms, proxy.ts: 4ms, application-code: 4ms)
 GET / 200 in 1523ms (next.js: 4ms, proxy.ts: 4ms, application-code: 1516ms)
 GET /api/cart?_=1788858210373 200 in 15ms (next.js: 3ms, proxy.ts: 4ms, application-code: 8ms)
 GET /api/auth/session 200 in 21ms (next.js: 11ms, proxy.ts: 5ms, application-code: 5ms)
 GET /api/auth/session 200 in 14ms (next.js: 4ms, proxy.ts: 4ms, application-code: 5ms)
 GET / 200 in 4.8s (next.js: 6ms, proxy.ts: 7ms, application-code: 4.8s)
 GET /api/cart?_=1788858608786 200 in 19ms (next.js: 4ms, proxy.ts: 4ms, application-code: 11ms)
 GET /api/auth/session 200 in 23ms (next.js: 11ms, proxy.ts: 5ms, application-code: 7ms)
 GET /api/auth/session 200 in 14ms (next.js: 6ms, proxy.ts: 4ms, application-code: 5ms)
 GET / 200 in 1496ms (next.js: 4ms, proxy.ts: 3ms, application-code: 1488ms)
 GET /api/cart?_=1788858611072 200 in 18ms (next.js: 3ms, proxy.ts: 4ms, application-code: 12ms)
 GET /api/auth/session 200 in 20ms (next.js: 10ms, proxy.ts: 5ms, application-code: 5ms)
 GET /api/auth/session 200 in 15ms (next.js: 5ms, proxy.ts: 6ms, application-code: 4ms)
✓ Compiled in 333ms
 GET / 200 in 4.9s (next.js: 89ms, proxy.ts: 118ms, application-code: 4.7s)
 GET / 200 in 4.6s (next.js: 4ms, proxy.ts: 9ms, application-code: 4.6s)
 GET / 200 in 5.9s (next.js: 388ms, proxy.ts: 6ms, application-code: 5.5s)
✓ Compiled in 437ms
 GET / 200 in 4.6s (next.js: 4ms, proxy.ts: 4ms, application-code: 4.6s)
 GET / 200 in 4.8s (next.js: 5ms, proxy.ts: 4ms, application-code: 4.8s)
 GET / 200 in 5.1s (next.js: 101ms, proxy.ts: 111ms, application-code: 4.9s)
✓ Compiled in 85ms
